Nume,Email,Judet,Telefon,Tip
"ALBA IULIA",office@apulum.ro,ALBA,,Primarie Municipiu
"AIUD",office@aiud.ro,ALBA,,Primarie Municipiu
"BLAJ",primarieblaj@rcnet.ro,ALBA,,Primarie Municipiu
"SEBES",sebespri@yahoo.com,ALBA,,Primarie Municipiu
"ABRUD",primariaabrud@yahoo.com,ALBA,,Primarie Oras
"BAIA DE ARIES",primbaia@yahoo.com,ALBA,,Primarie Oras
"CAMPENI",primaria_cimpeni@yahoo.com,ALBA,,Primarie Oras
"CUGIR",primaria@primariacugir.ro,ALBA,,Primarie Oras
"OCNA MURES",primar@primariaocnamures.ro,ALBA,,Primarie Oras
"TEIUS",primaria_orasului_teius@yahoo.com,ALBA,,Primarie Oras
"ZLATNA",pr_zlatna@primariazlatna.ro,ALBA,,Primarie Oras
"ALBAC",primaria_albac@yahoo.com,ALBA,,Primarie
"ALMASU MARE",primaria_almasu_mare@yahoo.com,ALBA,,Primarie
"ARIESENI",primariaarieseni@yahoo.com,ALBA,,Primarie
"AVRAM IANCU",primariaavramiancu@mail.ro,ALBA,,Primarie
"BERGHIN",primariaberghin@yahoo.com,ALBA,,Primarie
"BISTRA",primar_bistra@yahoo.com,ALBA,,Primarie
"BLANDIANA",primariablandiana@yahoo.com,ALBA,,Primarie
"BUCERDEA GRANOASA",primar@bucerdea_granoasa.ro,ALBA,,Primarie
"BUCIUM",primaria.bucium@yahoo.com,ALBA,,Primarie
"CALNIC",primaria_calnic@yahoo.com,ALBA,,Primarie
"CENADE",primariacenade@yahoo.com,ALBA,,Primarie
"CERGAU",primariacergau@yahoo.com,ALBA,,Primarie
"CERU-BACAINTI",primariacerubacainti@yahoo.com,ALBA,,Primarie
"CETATEA DE BALTA",primariacdb@yahoo.com,ALBA,,Primarie
"CIUGUD",primariaciugud@yahoo.com,ALBA,,Primarie
"CIURULEASA",primariaciuruleasa@clicknet.ro,ALBA,,Primarie
"CRACIUNELU DE JOS",prim_craciuneludejos@yahoo.com,ALBA,,Primarie
"CRICAU",cricauprimaria@yahoo.com,ALBA,,Primarie
"CUT",primariacut@yahoo.com,ALBA,,Primarie
"DAIA ROMANA",daiaprimaria@yahoo.com,ALBA,,Primarie
"DOSTAT",primariadostat@yahoo.com,ALBA,,Primarie
"FARAU",primariacomuneifarau@yahoo.com,ALBA,,Primarie
"GALDA DE JOS",clgalda@yahoo.com,ALBA,,Primarie
"GARBOVA",primariagirbova@yahoo.com,ALBA,,Primarie
"GARDA DE SUS",primariagarda@yahoo.com,ALBA,,Primarie
"HOPARTA",primaria_hoparta@yahoo.com,ALBA,,Primarie
"HOREA",primariahorea@yahoo.com,ALBA,,Primarie
"IGHIU",primariaighiu@yahoo.com,ALBA,,Primarie
"INTREGALDE",primariaintregalde@gmail.com,ALBA,,Primarie
"JIDVEI",primariajidvei@yahoo.com,ALBA,,Primarie
"LIVEZILE",primaria@primarialivezile.ro,ALBA,,Primarie
"LOPADEA NOUA",primaria.lopadeanoua@yahoo.com,ALBA,,Primarie
"LUNCA MURESULUI",primar@primariacomuneiluncamuresului.ro,ALBA,,Primarie
"LUPSA",primaria_lupsa@yahoo.com,ALBA,,Primarie
"METES",primariacomuneimetes@yahoo.com,ALBA,,Primarie
"MIHALT",pmihalt@yahoo.com,ALBA,,Primarie
"MIRASLAU",primaria.miraslau@yahoo.com,ALBA,,Primarie
"MOGOS",primariamogos@yahoo.com,ALBA,,Primarie
"NOSLAC",primarianoslac@yahoo.com,ALBA,,Primarie
"OCOLIS",sc.ocolis@mail.albanet.ro,ALBA,,Primarie
"OHABA",secretar@primariaohaba.ro,ALBA,,Primarie
"PIANU",primariacomuneipianu@yahoo.com,ALBA,,Primarie
"POIANA VADULUI",primaria@poianavadului.ro,ALBA,,Primarie
"PONOR",primariaponor@yahoo.com,ALBA,,Primarie
"POSAGA",secretar@comunaposaga.ro,ALBA,,Primarie
"RADESTI",primariaradesti@yahoo.com,ALBA,,Primarie
"RAMET",primariaramet2008@yahoo.com,ALBA,,Primarie
"RAMETEA",primaria_rimetea@yahoo.com,ALBA,,Primarie
"ROSIA DE SECAS",primariarosia@yahoo.com,ALBA,,Primarie
"ROSIA MONTANA",primaria@primariarosiamontana.ro,ALBA,,Primarie
"SALCIUA",primariasalciua@yahoo.com,ALBA,,Primarie
"SALISTEA",primaria_salistea@yahoo.com,ALBA,,Primarie
