Nume,Email,Judet,Telefon,Tip
"ALBA IULIA",office@apulum.ro,ALBA,,Primarie Municipiu
"AIUD",office@aiud.ro,ALBA,,Primarie Municipiu
"BLAJ",primarieblaj@rcnet.ro,ALBA,,Primarie Municipiu
"SEBES",sebespri@yahoo.com,ALBA,,Primarie Municipiu
"ABRUD",primariaabrud@yahoo.com,ALBA,,Primarie Oras
"BAIA DE ARIES",primbaia@yahoo.com,ALBA,,Primarie Oras
"CAMPENI",primaria_cimpeni@yahoo.com,ALBA,,Primarie Oras
"CUGIR",primaria@primariacugir.ro,ALBA,,Primarie Oras
"OCNA MURES",primar@primariaocnamures.ro,ALBA,,Primarie Oras
"TEIUS",primaria_orasului_teius@yahoo.com,ALBA,,Primarie Oras
"ZLATNA",pr_zlatna@primariazlatna.ro,ALBA,,Primarie Oras
"ARAD",pma@primariaarad.ro,ARAD,,Primarie Municipiu
"CHISINEU-CRIS",primariachcris@yahoo.com,ARAD,,Primarie Oras
"CURTICI",secretariat@primariacurtici.ro,ARAD,,Primarie Oras
"PANCOTA",primariapancota@artelecom.net,ARAD,,Primarie Oras
"PECICA",lex.pecica@upcmail.ro,ARAD,,Primarie Oras
"SEBIS",primariasebis@yahoo.com,ARAD,,Primarie Oras
"PITESTI",primaria@primariapitesti.ro,ARGES,,Primarie Municipiu
"CAMPULUNG",campulung@muscel.ro,ARGES,,Primarie Municipiu
"CURTEA DE ARGES",primariacurteadearges@yahoo.com,ARGES,,Primarie Municipiu
"COSTESTI",primaria@primariacostestiag.ro,ARGES,,Primarie Oras
"MIOVENI",primariamioveni@primariamioveni.ro,ARGES,,Primarie Oras
"TOPOLOVENI",primarie@topoloveni.cjarges.ro,ARGES,,Primarie Oras
"BACAU",contactprimarie@primariabacau.ro,BACAU,,Primarie Municipiu
"MOINESTI",consiliulocal@moinesti.ro,BACAU,,Primarie Municipiu
"ONESTI",secretar@onesti.ro,BACAU,,Primarie Municipiu
"BUHUSI",primariabuhusi@yahoo.com,BACAU,,Primarie Oras
"COMANESTI",relatiipublice@primariacomanesti.ro,BACAU,,Primarie Oras
"DARMANESTI",primaria_darmanesti@yahoo.com,BACAU,,Primarie Oras
"SLANIC MOLDOVA",primaria_sl@yahoo.com,BACAU,,Primarie Oras
"TARGU OCNA",primaria@tirguocna.ro,BACAU,,Primarie Oras
"ORADEA",primarie@oradea.ro,BIHOR,,Primarie Municipiu
"BEIUS",primaria.beius@cjbihor.ro,BIHOR,,Primarie Municipiu
"MARGHITA",primaria@marghita.ro,BIHOR,,Primarie Municipiu
"SALONTA",primsal@rdslink.ro,BIHOR,,Primarie Municipiu
"ALESD",primaria.alesd@cjbihor.ro,BIHOR,,Primarie Oras
"NUCET",primaria.nucet@cjbihor.ro,BIHOR,,Primarie Oras
"SACUENI",primaria.sacueni@cjbihor.ro,BIHOR,,Primarie Oras
"STEI",primaria.stei@cjbihor.ro,BIHOR,,Primarie Oras
"VALEA LUI MIHAI",primaria.valealuimihai@cjbihor.ro,BIHOR,,Primarie Oras
"VASCAU",primaria_vascau@yahoo.com,BIHOR,,Primarie Oras
"BISTRITA",primaria@primariabistrita.ro,BISTRITA-NASAUD,,Primarie Municipiu
"BECLEAN",secretariat@primariabeclean.ro,BISTRITA-NASAUD,,Primarie Oras
"NASAUD",pon@primarianasaud.ro,BISTRITA-NASAUD,,Primarie Oras
"SANGEORZ-BAI",info@singeorz-bai.ro,BISTRITA-NASAUD,,Primarie Oras
"BOTOSANI",primaria@primariabt.ro,BOTOSANI,,Primarie Municipiu
"DOROHOI",primariadorohoi@primariadorohoi.ro,BOTOSANI,,Primarie Municipiu
"BUCECEA",primaria.bucecea@yahoo.com,BOTOSANI,,Primarie Oras
"DARABANI",primariadarabani@yahoo.com,BOTOSANI,,Primarie Oras
"FLAMANZI",primariaflamanzi@yahoo.com,BOTOSANI,,Primarie Oras
"SAVENI",primaria_saveni@yahoo.com,BOTOSANI,,Primarie Oras
"STEFANESTI",primaria@stefanesti-bt.ro,BOTOSANI,,Primarie Oras
"BRAILA",pmb@primariabr.ro,BRAILA,,Primarie Municipiu
"FAUREI",primariafaurei@gmail.com,BRAILA,,Primarie Oras
"IANCA",primaria.ianca@yahoo.com,BRAILA,,Primarie Oras
"INSURATEI",primariainsuratei@yahoo.com,BRAILA,,Primarie Oras
"BRASOV",sep@brasovcity.ro,BRASOV,,Primarie Municipiu
