Nume,Email,Judet,Telefon,Tip
"ALBA IULIA",office@apulum.ro,ALBA,,Primarie Municipiu
"AIUD",office@aiud.ro,ALBA,,Primarie Municipiu
"BLAJ",primarieblaj@rcnet.ro,ALBA,,Primarie Municipiu
"SEBES",sebespri@yahoo.com,ALBA,,Primarie Municipiu
"ARAD",pma@primariaarad.ro,ARAD,,Primarie Municipiu
"PITESTI",primaria@primariapitesti.ro,ARGES,,Primarie Municipiu
"CAMPULUNG",campulung@muscel.ro,ARGES,,Primarie Municipiu
"CURTEA DE ARGES",primariacurteadearges@yahoo.com,ARGES,,Primarie Municipiu
"BACAU",contactprimarie@primariabacau.ro,BACAU,,Primarie Municipiu
"MOINESTI",consiliulocal@moinesti.ro,BACAU,,Primarie Municipiu
"ONESTI",secretar@onesti.ro,BACAU,,Primarie Municipiu
"ORADEA",primarie@oradea.ro,BIHOR,,Primarie Municipiu
"BEIUS",primaria.beius@cjbihor.ro,BIHOR,,Primarie Municipiu
"MARGHITA",primaria@marghita.ro,BIHOR,,Primarie Municipiu
"SALONTA",primsal@rdslink.ro,BIHOR,,Primarie Municipiu
"BISTRITA",primaria@primariabistrita.ro,BISTRITA-NASAUD,,Primarie Municipiu
"BOTOSANI",primaria@primariabt.ro,BOTOSANI,,Primarie Municipiu
"DOROHOI",primariadorohoi@primariadorohoi.ro,BOTOSANI,,Primarie Municipiu
"BRAILA",pmb@primariabr.ro,BRAILA,,Primarie Municipiu
"BRASOV",sep@brasovcity.ro,BRASOV,,Primarie Municipiu
"CODLEA",primariacodlea@yahoo.com,BRASOV,,Primarie Municipiu
"FAGARAS",secretariat@primaria-fagaras.ro,BRASOV,,Primarie Municipiu
"SACELE",primaria_sacele@yahoo.com,BRASOV,,Primarie Municipiu
"BUZAU",primbz_cabinet@buzau.ro,BUZAU,,Primarie Municipiu
"RAMNICU SARAT",primarie_rmsarat@yahoo.com,BUZAU,,Primarie Municipiu
"CALARASI",calarasi@municipiu.ro,CALARASI,,Primarie Municipiu
"OLTENITA",secretariat.primariaoltenita@gmail.com,CALARASI,,Primarie Municipiu
"RESITA",primar@primariaresita.ro,CARAS-SEVERIN,,Primarie Municipiu
"CARANSEBES",primaria.caransebes@gmail.com,CARAS-SEVERIN,,Primarie Municipiu
"CLUJ-NAPOCA",administratiepublica@primariaclujnapoca.ro,CLUJ,,Primarie Municipiu
"CAMPIA TURZII",primaria@campiaturzii.ro,CLUJ,,Primarie Municipiu
"DEJ",primaria@dej.ro,CLUJ,,Primarie Municipiu
"GHERLA",primar_gherla@yahoo.com,CLUJ,,Primarie Municipiu
"TURDA",primturda@yahoo.com,CLUJ,,Primarie Municipiu
"MANGALIA",primarie@mangalia.ro,CONSTANTA,,Primarie Municipiu
"MEDGIDIA",primaria_medgidia@yahoo.com,CONSTANTA,,Primarie Municipiu
"TARGOVISTE",primarulmunicipiuluitargoviste@pmtgv.ro,DAMBOVITA,,Primarie Municipiu
" MORENI",contact@primariamoreni.ro,DAMBOVITA,,Primarie Municipiu
"CRAIOVA",cv22primaria@cjdolj.ro,DOLJ,,Primarie Municipiu
"BAILESTI",bailesti@cjdolj.ro,DOLJ,,Primarie Municipiu
"CALAFAT",calafat@cjdolj.ro,DOLJ,,Primarie Municipiu
"GALATI",mail@primaria.galati.ro,GALATI,,Primarie Municipiu
"TECUCI",primtecuci@yahoo.com,GALATI,,Primarie Municipiu
"GIURGIU",primar@primaria-giurgiu.ro,GIURGIU,,Primarie Municipiu
"TARGU JIU",primaria.targujiu@xnet.ro,GORJ,,Primarie Municipiu
"MOTRU",primaria@primariamotru.ro,GORJ,,Primarie Municipiu
"MIERCUREA CIUC",primaria@miercureaciuc.ro,HARGHITA,,Primarie Municipiu
" GHEORGHENI",secretar@gheorgheni.ro,HARGHITA,,Primarie Municipiu
" TOPLITA",secretariat@primariatoplita.ro,HARGHITA,,Primarie Municipiu
"ODORHEIU SECUIESC",office@varoshaza.ro,HARGHITA,,Primarie Municipiu
"DEVA",primar@primariadeva.ro,HUNEDOARA,,Primarie Municipiu
" VULCAN",primvulcan@yahoo.com,HUNEDOARA,,Primarie Municipiu
"BRAD",bradprim@yahoo.com,HUNEDOARA,,Primarie Municipiu
"HUNEDOARA",primar@mail.primariahd.ro,HUNEDOARA,,Primarie Municipiu
"LUPENI",primaria@e-lupeni.ro,HUNEDOARA,,Primarie Municipiu
