Nume,Email,Judet,Telefon,Tip
"ACATARI",acatari@cjmures.ro,JUDETUL MURES,,Primarie
"ADAMUS",adamus@cjmures.ro,JUDETUL MURES,,Primarie
"COJOCNA",admcojocna@yahoo.com,JUDETUL CLUJ,,Primarie
"CLUJ-NAPOCA",administratiepublica@primariaclujnapoca.ro,JUDETUL CLUJ,,Primarie
"ADUNATI",adunati@prefecturaprahova.ro,JUDETUL PRAHOVA,,Primarie
"ADUNATII-COPACENI",adunatiicopaceni@yahoo.com,JUDETUL GIURGIU,,Primarie
"AFUMATI",afumati@cjdolj.ro,JUDETUL DOLJ,,Primarie
"AGHIRESU",aghiresu@yahoo.com,JUDETUL CLUJ,,Primarie
"ALBESTI",albesti@cjmures.ro,JUDETUL MURES,,Primarie
"ALBESTI",albestiprimaria@yahoo.com,JUDETUL IALOMITA,,Primarie
"STANESTI",alinbeuran@yahoo.com,JUDETUL GORJ,,Primarie
"ALMAJ",almaj@cjdolj.ro,JUDETUL DOLJ,,Primarie
"ALUNIS",alunis@cjmures.ro,JUDETUL MURES,,Primarie
"ALUNIS",alunis@prefecturaprahova.ro,JUDETUL PRAHOVA,,Primarie
"AMARASTII DE JOS",amarastii_de_jos@cjdolj.ro,JUDETUL DOLJ,,Primarie
"AMARASTII DE SUS",amarastii_de_sus@cjdolj.ro,JUDETUL DOLJ,,Primarie
"ANDRIESENI",andrieseniprimaria@yahoo.com,JUDETUL IASI,,Primarie
"ANINOASA",aninoasadb@yahoo.com,JUDETUL DAMBOVITA,,Primarie
"ANINOASA",aninoasaprimaria@yahoo.com,JUDETUL GORJ,,Primarie
"APELE VII",apele_vii@cjdolj.ro,JUDETUL DOLJ,,Primarie
"APOLD",apold@cjmures.ro,JUDETUL MURES,,Primarie
"APOLDU DE JOS",apoldudejos@gmail.com,JUDETUL SIBIU,,Primarie
"APOSTOLACHE",apostolache@prefecturaprahova.ro,JUDETUL PRAHOVA,,Primarie
"SCHEIA",arboreanl@yahoo.com,JUDETUL SUCEAVA,,Primarie
"ARGETOAIA",argetoaia@cjdolj.ro,JUDETUL DOLJ,,Primarie
"ARCUS",arkos@planet.ro,JUDETUL COVASNA,,Primarie
"ARPASU DE JOS",arpasudejos@yahoo.com,JUDETUL SIBIU,,Primarie
"VALEA MARE",as.social_primariavaleamare@yahoo.com,JUDETUL VALCEA,,Primarie
"ATINTIS",atintis@cjmures.ro,JUDETUL MURES,,Primarie
"TARGU FRUMOS",atps1@primariatg-frumos.ro,JUDETUL IASI,,Primarie
"PODURI",autoritatealocala@yahoo.com,JUDETUL BACAU,,Primarie
"AVRAMESTI",avramesti@netter.ro,JUDETUL HARGHITA,,Primarie
"AZUGA",azuga@prefecturaprahova.ro,JUDETUL PRAHOVA,,Primarie
"BABA ANA",babaana@prefecturaprahova.ro,JUDETUL PRAHOVA,,Primarie
"BATANI",bacon@cosys.ro,JUDETUL COVASNA,,Primarie
"BAGACIU",bagaciu@cjmures.ro,JUDETUL MURES,,Primarie
