Nume,Email,Judet,Telefon,Tip
"Primaria Iasi",informatii@primaria-iasi.ro,Iasi,,Primarie
"Primaria Constanta",primarie@primaria-constanta.ro,Constanta,,Primarie
"Primaria Constanta",birouldepresa@primaria-constanta.ro,Constanta,,Primarie
"Primaria Brasov",contact@brasovcity.ro,Brasov,,Primarie
"Primaria Craiova",relatiicupublicul@primariacraiova.ro,Dolj,,Primarie
"Primaria Sector 1",registratura@primarias1.ro,Bucuresti,,Primarie
"Primaria Sector 2",infopublice@ps2.ro,Bucuresti,,Primarie
"Primaria Sector 4",contact@ps4.ro,Bucuresti,,Primarie
"Primaria Sector 5",primarie@sector5.ro,Bucuresti,,Primarie
"Primaria Ploiesti",comunicare@ploiesti.ro,Prahova,,Primarie
"Primaria Oradea",primarie@oradea.ro,Bihor,,Primarie
"Primaria Sibiu",primarie@sibiu.ro,Sibiu,,Primarie
"Primaria Bacau",contactprimarie@primariabacau.ro,Bacau,,Primarie
"Primaria Suceava",primsv@primariasv.ro,Suceava,,Primarie
"Primaria Targu Mures",primaria@tirgumures.ro,Mures,,Primarie
"Primaria Baia Mare",primar@baiamare.ro,Maramures,,Primarie
"Primaria Buzau",informatica@primariabuzau.ro,Buzau,,Primarie
"Primaria Piatra Neamt",infopn@primariapn.ro,Neamt,,Primarie
"Primaria Drobeta Turnu Severin",primaria@primariadrobeta.ro,Mehedinti,,Primarie
"Primaria Alba Iulia",office@apulum.ro,Alba,,Primarie
"Primaria Bistrita",bruo@primariabistrita.ro,Bistrita-Nasaud,,Primarie
"Primaria Deva",primar@primariadeva.ro,Hunedoara,,Primarie
"Primaria Focsani",primarie@focsani.info,Vrancea,,Primarie
"Primaria Resita",centru@primariaresita.ro,Caras-Severin,,Primarie
"Primaria Targoviste",primarulmunicipiuluitargoviste@pmtgv.ro,Dambovita,,Primarie
"Primaria Tulcea",copieci@primariatulcea.ro,Tulcea,,Primarie
"Primaria Miercurea Ciuc",varoshaza@szereda.ro,Harghita,,Primarie
"Ministerul Mediului",registratura@mmediu.ro,Bucuresti,,Minister
"Ministerul Mediului",petitii@mmediu.ro,Bucuresti,,Minister
"Ministerul Educatiei",registratura@edu.gov.ro,Bucuresti,,Minister
"Ministerul Sanatatii",relatii.publice@ms.ro,Bucuresti,,Minister
"Consiliul Judetean Cluj",office.dadj@cjcluj.ro,Cluj,,Consiliu Judetean
"Consiliul Judetean Iasi",ghiseu.unic@icc.ro,Iasi,,Consiliu Judetean
"Consiliul Judetean Constanta",consjud@cjc.ro,Constanta,,Consiliu Judetean
"Consiliul Judetean Constanta",comunicare@cjc.ro,Constanta,,Consiliu Judetean
"Consiliul Judetean Dolj",relpub@cjdolj.ro,Dolj,,Consiliu Judetean
"Consiliul Judetean Bihor",registratura@cjbihor.ro,Bihor,,Consiliu Judetean
"Consiliul Judetean Sibiu",judet@cjsibiu.ro,Sibiu,,Consiliu Judetean
"Consiliul Judetean Arges",registratura@cjarges.ro,Arges,,Consiliu Judetean
"Consiliul Judetean Botosani",consiliu@cjbotosani.ro,Botosani,,Consiliu Judetean
"Consiliul Judetean Braila",consiliu@cjbraila.ro,Braila,,Consiliu Judetean
"Consiliul Judetean Buzau",birouldeconsultanta@cjbuzau.ro,Buzau,,Consiliu Judetean
"GAL Delta Dunarii",office@galdeltadunarii.ro,Tulcea,,GAL
"GAL Colinele Tutovei",office@galcolineletutovei.ro,Vaslui,,GAL
"GAL Bihor",office@galbihor.ro,Bihor,,GAL
"GAL Satu Mare",office@galsatumare.ro,Satu Mare,,GAL
"GAL Botosani",office@galbotosani.ro,Botosani,,GAL
