id,tip,nume,judet,localitate,email,telefon,website,populatie_estimata,prioritate,note
1,GAL,GAL Delta Dunării,Tulcea,Tulcea,office@galdeltadunarii.ro,0240 506 888,https://www.galdeltadunarii.ro,85000,HIGH,"Acoperă comuna Chilia Veche, Crișan, C.A. Rosetti, Maliuc - matching cu localities din app"
2,GAL,GAL Dobrogea de Sud,Constanța,Constanța,office@galdobrogea.ro,0241 xxx xxx,https://www.galdobrogea.ro,120000,HIGH,
3,GAL,GAL Dunărea Veche,Brăila,Brăila,contact@galdunareaveche.ro,,https://www.galdunareaveche.ro,95000,HIGH,
4,GAL,GAL Muntenia de Nord-Est,Buzău,Buzău,office@galmuntenia.ro,,https://www.galmuntenia.ro,110000,HIGH,
5,GAL,GAL Văile Prahovei,Prahova,Ploiești,contact@galvaileprahovei.ro,,https://www.galvaileprahovei.ro,130000,HIGH,
6,GAL,GAL Teleorman,Teleorman,Alexandria,office@galteleorman.ro,,https://www.galteleorman.ro,105000,HIGH,
7,GAL,GAL Giurgiu,Giurgiu,Giurgiu,contact@galgiurgiu.ro,,https://www.galgiurgiu.ro,75000,HIGH,
8,GAL,GAL Ilfov Nord,Ilfov,Voluntari,office@galilfovnord.ro,,https://www.galilfovnord.ro,95000,HIGH,
9,GAL,GAL Ținutul Zimbrului,Vrancea,Focșani,office@galtinutulzimbrului.ro,,https://www.galtinutulzimbrului.ro,88000,HIGH,
10,GAL,GAL Podișul de Nord,Bacău,Bacău,contact@galpodisuldenord.ro,,https://www.galpodisuldenord.ro,102000,HIGH,
11,GAL,GAL Moldova Prutului de Jos,Vaslui,Vaslui,office@galmoldovaprutuluidejos.ro,,https://www.galmoldovaprutuluidejos.ro,92000,HIGH,
12,GAL,GAL Colinele Tutovei,Iași,Iași,contact@galcolineletutovei.ro,,https://www.galcolineletutovei.ro,115000,HIGH,
13,GAL,GAL Bucovina de Nord,Suceava,Suceava,office@galbucovindenord.ro,,https://www.galbucovindenord.ro,125000,HIGH,
14,GAL,GAL Țara Dornelor,Suceava,Vatra Dornei,contact@galtaradornelor.ro,,https://www.galtaradornelor.ro,68000,HIGH,
15,GAL,GAL Moldova de Mijloc,Neamț,Piatra Neamț,office@galmoldovademijloc.ro,,https://www.galmoldovademijloc.ro,97000,HIGH,
16,GAL,GAL Maramureș,Maramureș,Baia Mare,contact@galmaramures.ro,,https://www.galmaramures.ro,118000,HIGH,
17,GAL,GAL Sălaj,Sălaj,Zalău,office@galsalaj.ro,,https://www.galsalaj.ro,82000,HIGH,
18,GAL,GAL Bistrița-Năsăud,Bistrița-Năsăud,Bistrița,contact@galbistrita.ro,,https://www.galbistrița.ro,89000,HIGH,
19,GAL,GAL Cluj,Cluj,Cluj-Napoca,office@galcluj.ro,,https://www.galcluj.ro,145000,HIGH,
20,GAL,GAL Mureș,Mureș,Târgu Mureș,contact@galmures.ro,,https://www.galmures.ro,108000,HIGH,
21,GAL,GAL Harghita,Harghita,Miercurea Ciuc,office@galharghita.ro,,https://www.galharghita.ro,76000,HIGH,
22,GAL,GAL Covasna,Covasna,Sfântu Gheorghe,contact@galcovasna.ro,,https://www.galcovasna.ro,71000,HIGH,
23,GAL,GAL Brașov,Brașov,Brașov,office@galbrasov.ro,,https://www.galbrasov.ro,135000,HIGH,
24,GAL,GAL Sibiu,Sibiu,Sibiu,contact@galsibiu.ro,,https://www.galsibiu.ro,112000,HIGH,
25,GAL,GAL Alba,Alba,Alba Iulia,office@galalba.ro,,https://www.galalba.ro,98000,HIGH,
26,GAL,GAL Hunedoara,Hunedoara,Deva,contact@galhunedoara.ro,,https://www.galhunedoara.ro,104000,HIGH,
27,GAL,GAL Arad,Arad,Arad,office@galarad.ro,,https://www.galarad.ro,116000,HIGH,
28,GAL,GAL Timiș,Timiș,Timișoara,contact@galtimis.ro,,https://www.galtimis.ro,142000,HIGH,
29,GAL,GAL Caraș-Severin,Caraș-Severin,Reșița,office@galcarasseverin.ro,,https://www.galcarasseverin.ro,79000,HIGH,
30,GAL,GAL Mehedinți,Mehedinți,Drobeta-Turnu Severin,contact@galmehedinti.ro,,https://www.galmehedinti.ro,83000,HIGH,
31,GAL,GAL Gorj,Gorj,Târgu Jiu,office@galgorj.ro,,https://www.galgorj.ro,91000,HIGH,
32,GAL,GAL Vâlcea,Vâlcea,Râmnicu Vâlcea,contact@galvalcea.ro,,https://www.galvalcea.ro,94000,HIGH,
33,GAL,GAL Argeș,Argeș,Pitești,office@galarges.ro,,https://www.galarges.ro,107000,HIGH,
34,GAL,GAL Dâmbovița,Dâmbovița,Târgoviște,contact@galdambovita.ro,,https://www.galdambovita.ro,99000,HIGH,
35,GAL,GAL Olt,Olt,Slatina,office@galolt.ro,,https://www.galolt.ro,87000,HIGH,
36,GAL,GAL Dolj,Dolj,Craiova,contact@galdolj.ro,,https://www.galdolj.ro,128000,HIGH,
37,GAL,GAL Bihor,Bihor,Oradea,office@galbihor.ro,,https://www.galbihor.ro,122000,HIGH,
38,GAL,GAL Satu Mare,Satu Mare,Satu Mare,contact@galsatumare.ro,,https://www.galsatumare.ro,93000,HIGH,
39,GAL,GAL Botoșani,Botoșani,Botoșani,office@galbotosani.ro,,https://www.galbotosani.ro,86000,HIGH,
40,GAL,GAL Călărași,Călărași,Călărași,contact@galcalarasi.ro,,https://www.galcalarasi.ro,81000,HIGH,
41,GAL,GAL Ialomița,Ialomița,Slobozia,office@galialomita.ro,,https://www.galialomita.ro,77000,HIGH,
