Nume,Email,Judet,Telefon,Tip
Ministerul Mediului,registratura@mmediu.ro,Bucuresti,,Minister
Ministerul Mediului,petitii@mmediu.ro,Bucuresti,,Minister
Ministerul Educatiei,registratura@edu.gov.ro,Bucuresti,,Minister
Ministerul Sanatatii,relatii.publice@ms.ro,Bucuresti,,Minister
Consiliul Judetean Cluj,office.dadj@cjcluj.ro,Cluj,,Consiliu Judetean
Consiliul Judetean Timis,alfred.simonis@cjtimis.ro,Timis,,Consiliu Judetean
Consiliul Judetean Iasi,ghiseu.unic@icc.ro,Iasi,,Consiliu Judetean
Consiliul Judetean Constanta,consjud@cjc.ro,Constanta,,Consiliu Judetean
Consiliul Judetean Constanta,comunicare@cjc.ro,Constanta,,Consiliu Judetean
Consiliul Judetean Dolj,relpub@cjdolj.ro,Dolj,,Consiliu Judetean
Consiliul Judetean Bihor,registratura@cjbihor.ro,Bihor,,Consiliu Judetean
Consiliul Judetean Sibiu,judet@cjsibiu.ro,Sibiu,,Consiliu Judetean
