Nume,Email,Judet,Telefon,Tip
Primaria Iasi,informatii@primaria-iasi.ro,Iasi,,Primarie
Primaria Constanta,primarie@primaria-constanta.ro,Constanta,,Primarie
Primaria Constanta,birouldepresa@primaria-constanta.ro,Constanta,,Primarie
Primaria Brasov,contact@brasovcity.ro,Brasov,,Primarie
Primaria Craiova,relatiicupublicul@primariacraiova.ro,Dolj,,Primarie
Primaria Sector 1,registratura@primarias1.ro,Bucuresti,,Primarie
Primaria Sector 2,infopublice@ps2.ro,Bucuresti,,Primarie
Primaria Sector 4,contact@ps4.ro,Bucuresti,,Primarie
Primaria Sector 5,primarie@sector5.ro,Bucuresti,,Primarie
Primaria Ploiesti,comunicare@ploiesti.ro,Prahova,,Primarie
Primaria Oradea,primarie@oradea.ro,Bihor,,Primarie
Primaria Sibiu,primarie@sibiu.ro,Sibiu,,Primarie
Primaria Bacau,contactprimarie@primariabacau.ro,Bacau,,Primarie
Primaria Suceava,primsv@primariasv.ro,Suceava,,Primarie
Primaria Targu Mures,primaria@tirgumures.ro,Mures,,Primarie
Primaria Baia Mare,primar@baiamare.ro,Maramures,,Primarie
Primaria Baia Mare,venituri@baiamare.ro,Maramures,,Primarie
Primaria Buzau,informatica@primariabuzau.ro,Buzau,,Primarie
Primaria Piatra Neamt,infopn@primariapn.ro,Neamt,,Primarie
Primaria Drobeta Turnu Severin,primaria@primariadrobeta.ro,Mehedinti,,Primarie
