Nume,Email,Judet,Telefon,Tip
MUNICIPIUL ALBA IULIA,office@apulum.ro,Alba,,Primarie Municipiu
MUNICIPIUL AIUD,office@aiud.ro,Alba,,Primarie Municipiu
MUNICIPIUL BLAJ,primarieblaj@rcnet.ro,Alba,,Primarie Municipiu
MUNICIPIUL SEBES,sebespri@yahoo.com,Alba,,Primarie Municipiu
ORAS ABRUD,primariaabrud@yahoo.com,Alba,,Primarie Oras
ORAS BAIA DE ARIES,primbaia@yahoo.com,Alba,,Primarie Oras
ORAS CAMPENI,primaria_cimpeni@yahoo.com,Alba,,Primarie Oras
ORAS CUGIR,primaria@primariacugir.ro,Alba,,Primarie Oras
ORAS OCNA MURES,primar@primariaocnamures.ro,Alba,,Primarie Oras
ORAS TEIUS,primaria_orasului_teius@yahoo.com,Alba,,Primarie Oras
ORAS ZLATNA,pr_zlatna@primariazlatna.ro,Alba,,Primarie Oras
ALBAC,primaria_albac@yahoo.com,Alba,,Primarie Comuna
ALMASU MARE,primaria_almasu_mare@yahoo.com,Alba,,Primarie Comuna
ARIESENI,primariaarieseni@yahoo.com,Alba,,Primarie Comuna
AVRAM IANCU,primariaavramiancu@mail.ro,Alba,,Primarie Comuna
BERGHIN,primariaberghin@yahoo.com,Alba,,Primarie Comuna
BISTRA,primar_bistra@yahoo.com,Alba,,Primarie Comuna
BLANDIANA,primariablandiana@yahoo.com,Alba,,Primarie Comuna
BUCERDEA GRANOASA,primar@bucerdea_granoasa.ro,Alba,,Primarie Comuna
BUCIUM,primaria.bucium@yahoo.com,Alba,,Primarie Comuna
CALNIC,primaria_calnic@yahoo.com,Alba,,Primarie Comuna
CENADE,primariacenade@yahoo.com,Alba,,Primarie Comuna
CERGAU,primariacergau@yahoo.com,Alba,,Primarie Comuna
CERU-BACAINTI,primariacerubacainti@yahoo.com,Alba,,Primarie Comuna
CETATEA DE BALTA,primariacdb@yahoo.com,Alba,,Primarie Comuna
CIUGUD,primariaciugud@yahoo.com,Alba,,Primarie Comuna
CIURULEASA,primariaciuruleasa@clicknet.ro,Alba,,Primarie Comuna
CRACIUNELU DE JOS,prim_craciuneludejos@yahoo.com,Alba,,Primarie Comuna
CRICAU,cricauprimaria@yahoo.com,Alba,,Primarie Comuna
CUT,primariacut@yahoo.com,Alba,,Primarie Comuna
DAIA ROMANA,daiaprimaria@yahoo.com,Alba,,Primarie Comuna
DOSTAT,primariadostat@yahoo.com,Alba,,Primarie Comuna
FARAU,primariacomuneifarau@yahoo.com,Alba,,Primarie Comuna
GALDA DE JOS,clgalda@yahoo.com,Alba,,Primarie Comuna
GARBOVA,primariagirbova@yahoo.com,Alba,,Primarie Comuna
GARDA DE SUS,primariagarda@yahoo.com,Alba,,Primarie Comuna
HOPARTA,primaria_hoparta@yahoo.com,Alba,,Primarie Comuna
HOREA,primariahorea@yahoo.com,Alba,,Primarie Comuna
IGHIU,primariaighiu@yahoo.com,Alba,,Primarie Comuna
INTREGALDE,primariaintregalde@gmail.com,Alba,,Primarie Comuna
JIDVEI,primariajidvei@yahoo.com,Alba,,Primarie Comuna
LIVEZILE,primaria@primarialivezile.ro,Alba,,Primarie Comuna
LOPADEA NOUA,primaria.lopadeanoua@yahoo.com,Alba,,Primarie Comuna
LUNCA MURESULUI,primar@primariacomuneiluncamuresului.ro,Alba,,Primarie Comuna
LUPSA,primaria_lupsa@yahoo.com,Alba,,Primarie Comuna
METES,primariacomuneimetes@yahoo.com,Alba,,Primarie Comuna
MIHALT,pmihalt@yahoo.com,Alba,,Primarie Comuna
MIRASLAU,primaria.miraslau@yahoo.com,Alba,,Primarie Comuna
MOGOS,primariamogos@yahoo.com,Alba,,Primarie Comuna
NOSLAC,primarianoslac@yahoo.com,Alba,,Primarie Comuna
OCOLIS,Sc.ocolis@mail.albanet.ro,Alba,,Primarie Comuna
OHABA,secretar@primariaohaba.ro,Alba,,Primarie Comuna
PIANU,primariacomuneipianu@yahoo.com,Alba,,Primarie Comuna
POIANA VADULUI,primaria@poianavadului.ro,Alba,,Primarie Comuna
PONOR,primariaponor@yahoo.com,Alba,,Primarie Comuna
POSAGA,secretar@comunaposaga.ro,Alba,,Primarie Comuna
RADESTI,primariaradesti@yahoo.com,Alba,,Primarie Comuna
RAMET,primariaramet2008@yahoo.com,Alba,,Primarie Comuna
RAMETEA,primaria_rimetea@yahoo.com,Alba,,Primarie Comuna
ROSIA DE SECAS,primariarosia@yahoo.com,Alba,,Primarie Comuna
ROSIA MONTANA,primaria@primariarosiamontana.ro,Alba,,Primarie Comuna
SALCIUA,primariasalciua@yahoo.com,Alba,,Primarie Comuna
SALISTEA,primaria_salistea@yahoo.com,Alba,,Primarie Comuna
SANCEL,primariasincel@yahoo.com,Alba,,Primarie Comuna
SANTIMBRU,popasantimbru@yahoo.com,Alba,,Primarie Comuna
SASCIORI,primariasasciori@yahoo.com,Alba,,Primarie Comuna
SCARISOARA,primar@scarisoara.ro,Alba,,Primarie Comuna
SIBOT,primaria.sibot@yahoo.com,Alba,,Primarie Comuna
SOHODOL,primaria_sohodol@yahoo.com,Alba,,Primarie Comuna
SONA,consiliulsona@yahoo.com,Alba,,Primarie Comuna
SPRING,primariaspring@yahoo.com,Alba,,Primarie Comuna
STREMT,primaria_stremt@yahoo.com,Alba,,Primarie Comuna
SUGAG,primariasugag@yahoo.com,Alba,,Primarie Comuna
UNIREA,primariaunirea@gmail.com,Alba,,Primarie Comuna
